"Referrer source","Referrer name","Day","Landing page URL","Session device type","Online store visitors","Sessions"
"social","instagram","2022-10-24","https://www.hensandhollyhocks.com/?fbclid=PAAaa3iHEcqDNw0LlSEePnTxATMvuojes3SpqgC75ATWOoG2v-ClJYZqopHsA","mobile",1,1
"social","instagram","2022-10-24","https://www.hensandhollyhocks.com/?fbclid=PAAaZb4kjYG0OIZk8Y2GcyypCRHqKkhG1rZYnzm6foae9UWpX1Im3tS2P0LdQ","mobile",1,1
"search","google","2022-10-24","https://www.hensandhollyhocks.com/products/coral-scallop-edge-dessert-side-plate","mobile",1,1
"social","instagram","2022-10-24","https://www.hensandhollyhocks.com/","mobile",40,40
"search","google","2022-10-24","https://www.hensandhollyhocks.com/products/scallop-edge-dinner-plate","mobile",1,1
"direct",,"2022-10-24","https://www.hensandhollyhocks.com/pages/contact-us","mobile",1,1
"direct",,"2022-10-25","https://www.hensandhollyhocks.com/products/citron-green-coral-scallop-edge-dessert-side-plate?_fd=0","desktop",1,1
"social","instagram","2022-10-25","https://www.hensandhollyhocks.com/","mobile",25,25
"direct",,"2022-10-25","https://www.hensandhollyhocks.com/","desktop",5,5
"direct","hensandhollyhocks","2022-10-25","https://www.hensandhollyhocks.com/collections/decorations","mobile",1,1
"direct","hensandhollyhocks","2022-10-25","https://www.hensandhollyhocks.com/collections/cutlery","mobile",1,1
"direct",,"2022-10-25","https://www.hensandhollyhocks.com/pages/contact-us","desktop",12,12
"direct",,"2022-10-25","https://www.hensandhollyhocks.com/collections/tableware?_fd=0","desktop",1,1
"direct",,"2022-10-25","https://www.hensandhollyhocks.com/?_fd=0","desktop",1,1
"social","instagram","2022-10-25","https://www.hensandhollyhocks.com/?fbclid=PAAaZWHTe_fCNKQUTXLjhrYbgzTAJah86QhtimggJ2GjPoB9-MAsdPH03ps7s","mobile",1,1
"direct",,"2022-10-25","https://www.hensandhollyhocks.com/pages/about-us","desktop",10,10
"direct",,"2022-10-25","https://www.hensandhollyhocks.com/collections/decorations","mobile",1,3
"social","instagram","2022-10-25","https://www.hensandhollyhocks.com/?fbclid=PAAaZMy6bJbjJD2L0hmkxLkJuH1HU4TPBBmmTwmKgT0HVG_ROUPLEWP5DTyWs","mobile",1,1
"direct",,"2022-10-25","https://www.hensandhollyhocks.com/collections/glassware","other",1,1
"direct",,"2022-10-25","https://www.hensandhollyhocks.com/","mobile",1,1
"social","instagram","2022-10-25","https://www.hensandhollyhocks.com/?fbclid=PAAabXxa1zBT0MlQrlNeYockD5iRI5YxQ5j8ANksWjc-dGWLBtpk2X8ofsIfA","mobile",1,1
"search","google","2022-10-25","https://www.hensandhollyhocks.com/products/luxury-velvet-bow-napkin-rings","desktop",1,1
"direct",,"2022-10-25","https://www.hensandhollyhocks.com/products/brass-bee-door-knocker-nickel-finish","mobile",1,1
"search","google","2022-10-25","https://www.hensandhollyhocks.com/products/brass-bee-door-knocker-rose-gold-finish","mobile",1,1
"unknown",,"2022-10-26","https://www.hensandhollyhocks.com/collections/glassware","mobile",1,1
"direct",,"2022-10-26","https://www.hensandhollyhocks.com/collections/glassware","mobile",1,1
"direct",,"2022-10-26","https://www.hensandhollyhocks.com/","desktop",1,1
"search","google","2022-10-26","https://www.hensandhollyhocks.com/products/five-piece-bamboo-flatware-set","mobile",1,1
